clé: tremor | valeur: 4
clé: dizziness | valeur: 5
clé: blindness | valeur: 1
clé: constricted pupils | valeur: 3
clé: fever | valeur: 7
clé: stiff neck | valeur: 4
clé: cough | valeur: 6
clé: insomnia | valeur: 4
clé: nausea | valeur: 5
clé: low blood pressure | valeur: 4
clé: rapid heart rate | valeur: 1
clé: dry mouth | valeur: 8
clé: anxiety | valeur: 5
clé: rash | valeur: 4
clé: shortness of breath | valeur: 3
clé: arrhythmias | valeur: 3
clé: inflamation | valeur: 7
clé: high blood pressure | valeur: 10
clé: water retention | valeur: 1
clé: dialated pupils | valeur: 4
clé: headache | valeur: 3
clé: stomach pain | valeur: 3
clé: blurred vision | valeur: 5
